train_id,sensor_type,sensor_value,threshold_value,status,unit,last_reading,location
KMRL-001,brake_temperature,51.54,80.0,NORMAL,°C,2025-10-01T20:39:00.378177,CAR_1
KMRL-001,motor_temperature,81.44,85.0,NORMAL,°C,2025-10-01T20:39:00.378190,CAR_2
KMRL-001,hvac_efficiency,79.1,80.0,CRITICAL,%,2025-10-01T20:39:00.378196,CAR_3
KMRL-001,door_cycle_count,119317.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378202,CAR_3
KMRL-001,vibration_level,2.91,2.5,CRITICAL,mm/s,2025-10-01T20:39:00.378208,CAR_1
KMRL-001,battery_voltage,112.29,115.0,CRITICAL,V,2025-10-01T20:39:00.378212,CAR_2
KMRL-001,air_pressure,8.22,8.2,NORMAL,bar,2025-10-01T20:39:00.378216,CAR_2
KMRL-001,wheel_wear_indicator,47.49,80.0,NORMAL,%,2025-10-01T20:39:00.378220,CAR_1
KMRL-002,brake_temperature,56.85,80.0,NORMAL,°C,2025-10-01T20:39:00.378226,CAR_2
KMRL-002,motor_temperature,66.55,85.0,NORMAL,°C,2025-10-01T20:39:00.378229,CAR_3
KMRL-002,hvac_efficiency,91.82,80.0,NORMAL,%,2025-10-01T20:39:00.378232,CAR_2
KMRL-002,door_cycle_count,152478.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378236,CAR_2
KMRL-002,vibration_level,0.76,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378240,CAR_4
KMRL-002,battery_voltage,123.58,115.0,NORMAL,V,2025-10-01T20:39:00.378243,CAR_2
KMRL-002,air_pressure,8.63,8.2,NORMAL,bar,2025-10-01T20:39:00.378246,CAR_2
KMRL-002,wheel_wear_indicator,99.33,80.0,CRITICAL,%,2025-10-01T20:39:00.378250,CAR_3
KMRL-003,brake_temperature,78.96,80.0,NORMAL,°C,2025-10-01T20:39:00.378254,CAR_4
KMRL-003,motor_temperature,88.59,85.0,CRITICAL,°C,2025-10-01T20:39:00.378257,CAR_3
KMRL-003,hvac_efficiency,80.76,80.0,NORMAL,%,2025-10-01T20:39:00.378262,CAR_1
KMRL-003,door_cycle_count,63788.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378265,CAR_3
KMRL-003,vibration_level,1.1,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378268,CAR_2
KMRL-003,battery_voltage,122.01,115.0,NORMAL,V,2025-10-01T20:39:00.378272,CAR_4
KMRL-003,air_pressure,8.63,8.2,NORMAL,bar,2025-10-01T20:39:00.378276,CAR_4
KMRL-003,wheel_wear_indicator,47.25,80.0,NORMAL,%,2025-10-01T20:39:00.378279,CAR_2
KMRL-004,brake_temperature,58.12,80.0,NORMAL,°C,2025-10-01T20:39:00.378282,CAR_3
KMRL-004,motor_temperature,67.09,85.0,NORMAL,°C,2025-10-01T20:39:00.378285,CAR_4
KMRL-004,hvac_efficiency,85.35,80.0,NORMAL,%,2025-10-01T20:39:00.378288,CAR_1
KMRL-004,door_cycle_count,71458.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378291,CAR_3
KMRL-004,vibration_level,2.98,2.5,CRITICAL,mm/s,2025-10-01T20:39:00.378294,CAR_2
KMRL-004,battery_voltage,119.09,115.0,NORMAL,V,2025-10-01T20:39:00.378297,CAR_1
KMRL-004,air_pressure,8.04,8.2,CRITICAL,bar,2025-10-01T20:39:00.378301,CAR_2
KMRL-004,wheel_wear_indicator,8.95,80.0,NORMAL,%,2025-10-01T20:39:00.378304,CAR_1
KMRL-005,brake_temperature,53.51,80.0,NORMAL,°C,2025-10-01T20:39:00.378309,CAR_2
KMRL-005,motor_temperature,86.61,85.0,CRITICAL,°C,2025-10-01T20:39:00.378312,CAR_4
KMRL-005,hvac_efficiency,94.42,80.0,NORMAL,%,2025-10-01T20:39:00.378315,CAR_1
KMRL-005,door_cycle_count,138385.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378318,CAR_4
KMRL-005,vibration_level,2.62,2.5,CRITICAL,mm/s,2025-10-01T20:39:00.378321,CAR_2
KMRL-005,battery_voltage,118.2,115.0,NORMAL,V,2025-10-01T20:39:00.378326,CAR_2
KMRL-005,air_pressure,8.22,8.2,NORMAL,bar,2025-10-01T20:39:00.378329,CAR_4
KMRL-005,wheel_wear_indicator,96.55,80.0,CRITICAL,%,2025-10-01T20:39:00.378332,CAR_4
KMRL-006,brake_temperature,47.29,80.0,NORMAL,°C,2025-10-01T20:39:00.378335,CAR_2
KMRL-006,motor_temperature,60.15,85.0,NORMAL,°C,2025-10-01T20:39:00.378338,CAR_2
KMRL-006,hvac_efficiency,83.66,80.0,NORMAL,%,2025-10-01T20:39:00.378341,CAR_4
KMRL-006,door_cycle_count,62364.0,180000.0,WARNING,cycles,2025-10-01T20:39:00.378344,CAR_4
KMRL-006,vibration_level,0.99,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378347,CAR_3
KMRL-006,battery_voltage,124.66,115.0,WARNING,V,2025-10-01T20:39:00.378350,CAR_4
KMRL-006,air_pressure,9.0,8.2,NORMAL,bar,2025-10-01T20:39:00.378354,CAR_2
KMRL-006,wheel_wear_indicator,86.47,80.0,CRITICAL,%,2025-10-01T20:39:00.378357,CAR_4
KMRL-007,brake_temperature,60.49,80.0,NORMAL,°C,2025-10-01T20:39:00.378360,CAR_3
KMRL-007,motor_temperature,78.85,85.0,NORMAL,°C,2025-10-01T20:39:00.378362,CAR_4
KMRL-007,hvac_efficiency,85.55,80.0,NORMAL,%,2025-10-01T20:39:00.378365,CAR_4
KMRL-007,door_cycle_count,170027.0,180000.0,NORMAL,cycles,2025-10-01T20:39:00.378370,CAR_3
KMRL-007,vibration_level,1.97,2.5,NORMAL,mm/s,2025-10-01T20:39:00.378373,CAR_2
KMRL-007,battery_voltage,117.4,115.0,NORMAL,V,2025-10-01T20:39:00.378376,CAR_2
KMRL-007,air_pressure,8.25,8.2,NORMAL,bar,2025-10-01T20:39:00.378379,CAR_3
KMRL-007,wheel_wear_indicator,53.9,80.0,NORMAL,%,2025-10-01T20:39:00.378382,CAR_3
KMRL-008,brake_temperature,56.02,80.0,NORMAL,°C,2025-10-01T20:39:00.378386,CAR_2
KMRL-008,motor_temperature,83.82,85.0,NORMAL,°C,2025-10-01T20:39:00.378391,CAR_3
KMRL-008,hvac_efficiency,89.15,80.0,NORMAL,%,2025-10-01T20:39:00.378393,CAR_3
