contract_id,train_id,advertiser,campaign_name,start_date,end_date,min_daily_exposure_hours,min_weekly_exposure_hours,daily_rate_inr,total_contract_value_inr,penalty_rate_per_hour,status,branding_location
BC002000,KMRL-003,Amazon,Amazon Campaign 16,2025-07-13,2026-01-09,11.0,77.2,7663.6,1379447.36,766.36,ACTIVE,EXTERIOR_PARTIAL
BC002001,KMRL-004,Kalyan Jewellers,Kalyan Jewellers Campaign 9,2025-08-21,2026-02-17,14.3,100.1,12117.98,2181237.09,1211.8,ACTIVE,INTERIOR
BC002002,KMRL-005,Malabar Gold,Malabar Gold Campaign 11,2025-07-10,2025-08-09,13.0,90.7,8179.85,245395.52,817.99,EXPIRED,EXTERIOR_PARTIAL
BC002003,KMRL-006,Lulu Mall,Lulu Mall Campaign 3,2025-08-29,2026-02-25,14.9,104.2,6914.79,1244662.98,691.48,ACTIVE,EXTERIOR_PARTIAL
BC002004,KMRL-006,Flipkart,Flipkart Campaign 13,2025-08-06,2026-02-02,14.6,102.4,11243.44,2023818.68,1124.34,ACTIVE,EXTERIOR_FULL
BC002005,KMRL-007,BSNL,BSNL Campaign 11,2025-09-03,2026-03-02,15.0,104.9,12600.05,2268009.7,1260.01,ACTIVE,EXTERIOR_FULL
BC002006,KMRL-008,Kerala Tourism,Kerala Tourism Campaign 6,2025-09-12,2026-03-11,10.3,72.3,9412.42,1694235.19,941.24,ACTIVE,EXTERIOR_PARTIAL
BC002007,KMRL-009,Amazon,Amazon Campaign 14,2025-09-18,2025-10-18,12.1,85.0,11837.99,355139.57,1183.8,ACTIVE,EXTERIOR_PARTIAL
BC002008,KMRL-010,Amazon,Amazon Campaign 8,2025-08-24,2025-11-22,11.6,81.1,8875.44,798789.87,887.54,ACTIVE,INTERIOR
BC002009,KMRL-010,Malabar Gold,Malabar Gold Campaign 6,2025-09-05,2026-03-04,12.5,87.8,11373.5,2047230.11,1137.35,ACTIVE,INTERIOR
BC002010,KMRL-011,Flipkart,Flipkart Campaign 15,2025-09-06,2026-03-05,12.9,90.2,5458.21,982477.86,545.82,ACTIVE,EXTERIOR_FULL
BC002011,KMRL-013,Flipkart,Flipkart Campaign 19,2025-08-11,2026-02-07,10.1,71.0,11685.55,2103398.74,1168.55,ACTIVE,INTERIOR
BC002012,KMRL-013,Reliance Digital,Reliance Digital Campaign 16,2025-07-10,2025-08-09,15.1,105.5,7451.23,223537.0,745.12,EXPIRED,INTERIOR
BC002013,KMRL-015,Federal Bank,Federal Bank Campaign 6,2025-08-04,2025-10-03,13.1,91.5,13869.93,832195.64,1386.99,ACTIVE,EXTERIOR_FULL
BC002014,KMRL-016,Reliance Digital,Reliance Digital Campaign 10,2025-07-25,2025-10-23,13.4,94.0,14899.46,1340951.3,1489.95,ACTIVE,EXTERIOR_PARTIAL
BC002015,KMRL-017,BSNL,BSNL Campaign 19,2025-08-23,2026-02-19,8.5,59.5,8606.9,1549241.39,860.69,ACTIVE,EXTERIOR_PARTIAL
BC002016,KMRL-019,Reliance Digital,Reliance Digital Campaign 17,2025-09-03,2025-10-03,12.3,86.2,10207.08,306212.33,1020.71,ACTIVE,INTERIOR
BC002017,KMRL-020,BSNL,BSNL Campaign 16,2025-07-20,2026-01-16,11.8,82.5,14311.93,2576147.66,1431.19,ACTIVE,EXTERIOR_PARTIAL
BC002018,KMRL-021,Airtel,Airtel Campaign 6,2025-07-12,2025-10-10,12.9,90.0,11253.6,1012824.41,1125.36,ACTIVE,EXTERIOR_FULL
BC002019,KMRL-022,Flipkart,Flipkart Campaign 3,2025-07-06,2025-10-04,8.3,58.2,6997.27,629753.88,699.73,ACTIVE,INTERIOR
BC002020,KMRL-023,Flipkart,Flipkart Campaign 1,2025-07-29,2025-08-28,15.8,110.5,11992.94,359788.18,1199.29,EXPIRED,EXTERIOR_PARTIAL
BC002021,KMRL-024,BSNL,BSNL Campaign 9,2025-08-14,2026-02-10,11.8,82.4,11990.58,2158305.03,1199.06,ACTIVE,EXTERIOR_FULL
BC002022,KMRL-025,Malabar Gold,Malabar Gold Campaign 20,2025-07-27,2025-10-25,8.5,59.7,6129.7,551672.78,612.97,ACTIVE,EXTERIOR_FULL
