train_id,last_service_date,fitness_cert_valid_from,fitness_cert_valid_to,jobcard_status,mileage_since_overhaul,iot_sensor_flags,crew_available,branding_exposure_hours,stabling_bay,cleaning_slot,created_at,updated_at
KMRL-001,2025-09-01,2025-08-17,2025-11-15,OPEN,42609,DOOR_MALFUNCTION,True,16.3,BAY-07,IN_PROGRESS,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-002,2025-09-13,2025-07-13,2025-10-11,OPEN,57293,NORMAL,True,14.4,BAY-11,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-003,2025-09-17,2025-08-12,2025-11-10,OPEN,41224,NORMAL,True,16.6,BAY-06,SCHEDULED,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-004,2025-08-30,2025-07-15,2025-10-13,CLOSED,99663,NORMAL,True,10.4,BAY-02,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-005,2025-09-25,2025-09-17,2025-12-16,OPEN,55328,NORMAL,True,16.8,BAY-01,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-006,2025-08-19,2025-09-18,2025-12-17,CLOSED,85018,NORMAL,True,14.2,BAY-09,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-007,2025-08-19,2025-08-01,2025-10-30,PENDING,46782,NORMAL,True,15.0,BAY-07,SCHEDULED,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-008,2025-09-03,2025-09-15,2025-12-14,NONE,55571,MOTOR_VIBRATION,True,15.2,BAY-06,SCHEDULED,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-009,2025-09-06,2025-09-03,2025-12-02,NONE,48705,NORMAL,True,14.8,BAY-03,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-010,2025-08-31,2025-06-10,2025-09-08,OPEN,64331,NORMAL,True,9.6,BAY-12,IN_PROGRESS,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-011,2025-09-30,2025-08-09,2025-11-07,OPEN,68107,NORMAL,True,12.9,BAY-07,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-012,2025-09-14,2025-09-29,2025-12-28,NONE,91708,HVAC_EFFICIENCY_LOW,False,17.5,BAY-06,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-013,2025-09-09,2025-08-27,2025-11-25,NONE,50237,NORMAL,True,9.2,BAY-03,REQUIRED,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-014,2025-08-19,2025-06-11,2025-09-09,NONE,35118,NORMAL,True,13.1,BAY-04,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-015,2025-09-21,2025-09-22,2025-12-21,CRITICAL_OPEN,85434,NORMAL,True,13.9,BAY-11,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-016,2025-08-29,2025-06-03,2025-09-01,OPEN,62098,NORMAL,True,11.6,BAY-05,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-017,2025-08-18,2025-06-07,2025-09-05,NONE,90163,NORMAL,False,13.6,BAY-07,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-018,2025-09-12,2025-09-06,2025-12-05,NONE,46541,NORMAL,True,8.6,BAY-07,REQUIRED,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-019,2025-09-05,2025-07-31,2025-10-29,CLOSED,31713,NORMAL,True,14.6,BAY-07,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-020,2025-09-17,2025-08-15,2025-11-13,OPEN,32249,NORMAL,False,10.1,BAY-01,REQUIRED,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-021,2025-09-05,2025-06-24,2025-09-22,OPEN,90632,"HIGH_MILEAGE_ALERT, DOOR_MALFUNCTION",True,16.8,BAY-02,REQUIRED,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-022,2025-08-31,2025-07-23,2025-10-21,OPEN,35085,AIR_PRESSURE_LOW,False,17.7,BAY-08,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-023,2025-08-27,2025-08-02,2025-10-31,NONE,93704,NORMAL,True,15.6,BAY-11,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-024,2025-09-14,2025-09-08,2025-12-07,NONE,49052,NORMAL,False,10.6,BAY-08,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
KMRL-025,2025-09-30,2025-06-26,2025-09-24,OPEN,93962,AIR_PRESSURE_LOW,True,17.3,BAY-08,NONE,2025-10-01T20:39:00.233384,2025-10-01T20:39:00.233384
